Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014015,2024,04,26,24.5,1,N
IDCJAC0011,014015,2024,04,27,25.9,1,N
IDCJAC0011,014015,2024,04,28,23.1,1,N
IDCJAC0011,014015,2024,04,29,23.7,1,N
IDCJAC0011,014015,2024,04,30,24.1,1,N
IDCJAC0011,014015,2024,05,01,24.9,1,Y
IDCJAC0011,014015,2024,05,02,24.7,1,Y
IDCJAC0011,014015,2024,05,03,24.0,1,Y
IDCJAC0011,014015,2024,05,04,24.8,1,Y
IDCJAC0011,014015,2024,05,05,25.0,1,Y
IDCJAC0011,014015,2024,05,06,23.9,1,Y
IDCJAC0011,014015,2024,05,07,22.9,1,Y
IDCJAC0011,014015,2024,05,08,23.3,1,Y
IDCJAC0011,014015,2024,05,09,23.3,1,Y
IDCJAC0011,014015,2024,05,10,26.5,1,Y
IDCJAC0011,014015,2024,05,11,24.2,1,Y
IDCJAC0011,014015,2024,05,12,22.7,1,Y
IDCJAC0011,014015,2024,05,13,23.1,1,Y
IDCJAC0011,014015,2024,05,14,24.7,1,Y
IDCJAC0011,014015,2024,05,15,24.5,1,Y
IDCJAC0011,014015,2024,05,16,24.3,1,Y
IDCJAC0011,014015,2024,05,17,23.9,1,Y
IDCJAC0011,014015,2024,05,18,23.2,1,Y
IDCJAC0011,014015,2024,05,19,21.1,1,Y
IDCJAC0011,014015,2024,05,20,21.3,1,Y
IDCJAC0011,014015,2024,05,21,19.1,1,Y
IDCJAC0011,014015,2024,05,22,20.0,1,Y
IDCJAC0011,014015,2024,05,23,22.8,1,Y
IDCJAC0011,014015,2024,05,24,23.7,1,Y
IDCJAC0011,014015,2024,05,25,24.7,1,Y
IDCJAC0011,014015,2024,05,26,23.4,1,Y
IDCJAC0011,014015,2024,05,27,23.9,1,Y
IDCJAC0011,014015,2024,05,28,24.4,1,Y
IDCJAC0011,014015,2024,05,29,25.5,1,Y
IDCJAC0011,014015,2024,05,30,26.2,1,Y
IDCJAC0011,014015,2024,05,31,25.0,1,Y
IDCJAC0011,014015,2024,06,01,24.2,1,N
IDCJAC0011,014015,2024,06,02,22.6,1,N
IDCJAC0011,014015,2024,06,03,21.5,1,N
IDCJAC0011,014015,2024,06,04,21.2,1,N
IDCJAC0011,014015,2024,06,05,22.8,1,N
IDCJAC0011,014015,2024,06,06,20.9,1,N
IDCJAC0011,014015,2024,06,07,17.6,1,N
IDCJAC0011,014015,2024,06,08,14.7,1,N
IDCJAC0011,014015,2024,06,09,15.5,1,N
IDCJAC0011,014015,2024,06,10,17.1,1,N
IDCJAC0011,014015,2024,06,11,19.6,1,N
IDCJAC0011,014015,2024,06,12,18.2,1,N
IDCJAC0011,014015,2024,06,13,18.2,1,N
IDCJAC0011,014015,2024,06,14,18.8,1,N
IDCJAC0011,014015,2024,06,15,19.5,1,N
IDCJAC0011,014015,2024,06,16,20.7,1,N
IDCJAC0011,014015,2024,06,17,20.3,1,N
IDCJAC0011,014015,2024,06,18,18.0,1,N
IDCJAC0011,014015,2024,06,19,18.6,1,N
IDCJAC0011,014015,2024,06,20,19.6,1,N
IDCJAC0011,014015,2024,06,21,20.9,1,N
IDCJAC0011,014015,2024,06,22,20.3,1,N
IDCJAC0011,014015,2024,06,23,18.2,1,N
IDCJAC0011,014015,2024,06,24,19.2,1,N
IDCJAC0011,014015,2024,06,25,17.8,1,N
IDCJAC0011,014015,2024,06,26,20.2,1,N
IDCJAC0011,014015,2024,06,27,21.7,1,N
