Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014015,2024,04,26,35.2,1,N
IDCJAC0010,014015,2024,04,27,33.6,1,N
IDCJAC0010,014015,2024,04,28,33.7,1,N
IDCJAC0010,014015,2024,04,29,34.3,1,N
IDCJAC0010,014015,2024,04,30,34.6,1,N
IDCJAC0010,014015,2024,05,01,33.8,1,Y
IDCJAC0010,014015,2024,05,02,34.7,1,Y
IDCJAC0010,014015,2024,05,03,34.7,1,Y
IDCJAC0010,014015,2024,05,04,34.6,1,Y
IDCJAC0010,014015,2024,05,05,34.6,1,Y
IDCJAC0010,014015,2024,05,06,33.7,1,Y
IDCJAC0010,014015,2024,05,07,34.0,1,Y
IDCJAC0010,014015,2024,05,08,33.5,1,Y
IDCJAC0010,014015,2024,05,09,34.2,1,Y
IDCJAC0010,014015,2024,05,10,35.1,1,Y
IDCJAC0010,014015,2024,05,11,34.2,1,Y
IDCJAC0010,014015,2024,05,12,33.5,1,Y
IDCJAC0010,014015,2024,05,13,33.6,1,Y
IDCJAC0010,014015,2024,05,14,33.9,1,Y
IDCJAC0010,014015,2024,05,15,33.6,1,Y
IDCJAC0010,014015,2024,05,16,34.6,1,Y
IDCJAC0010,014015,2024,05,17,34.4,1,Y
IDCJAC0010,014015,2024,05,18,34.1,1,Y
IDCJAC0010,014015,2024,05,19,33.0,1,Y
IDCJAC0010,014015,2024,05,20,31.3,1,Y
IDCJAC0010,014015,2024,05,21,30.5,1,Y
IDCJAC0010,014015,2024,05,22,31.9,1,Y
IDCJAC0010,014015,2024,05,23,33.2,1,Y
IDCJAC0010,014015,2024,05,24,33.7,1,Y
IDCJAC0010,014015,2024,05,25,33.7,1,Y
IDCJAC0010,014015,2024,05,26,33.9,1,Y
IDCJAC0010,014015,2024,05,27,34.0,1,Y
IDCJAC0010,014015,2024,05,28,34.2,1,Y
IDCJAC0010,014015,2024,05,29,32.8,1,Y
IDCJAC0010,014015,2024,05,30,33.2,1,Y
IDCJAC0010,014015,2024,05,31,33.5,1,Y
IDCJAC0010,014015,2024,06,01,33.4,1,N
IDCJAC0010,014015,2024,06,02,31.8,1,N
IDCJAC0010,014015,2024,06,03,31.5,1,N
IDCJAC0010,014015,2024,06,04,31.5,1,N
IDCJAC0010,014015,2024,06,05,32.0,1,N
IDCJAC0010,014015,2024,06,06,29.5,1,N
